event_file,eeg_file,total_votes_received,fraction_of_yes,Split
0000004_75264,0000004,1,0.0,test
0000004_75392,0000004,1,0.0,test
0000004_75520,0000004,1,0.0,test
0000004_75776,0000004,1,0.0,test
0000004_76416,0000004,1,0.0,test
0000004_76544,0000004,1,0.0,test
0000004_76672,0000004,1,0.0,test
0000004_76800,0000004,1,0.0,test
0000004_77056,0000004,1,0.0,test
0000004_77184,0000004,1,0.0,test
0000004_77312,0000004,1,0.0,test
0000004_78080,0000004,1,0.0,test
0000004_78464,0000004,1,0.0,test
0000004_78848,0000004,1,0.0,test
0000004_79360,0000004,1,0.0,test
0000004_80384,0000004,1,0.0,test
0000004_81152,0000004,1,0.0,test
0000004_81920,0000004,1,0.0,test
0000004_82432,0000004,1,0.0,test
0000004_83200,0000004,1,0.0,test
0000004_83840,0000004,1,0.0,test
0000004_84992,0000004,1,0.0,test
0000004_85120,0000004,1,0.0,test
0000004_85376,0000004,1,0.0,test
0000004_85504,0000004,1,0.0,test
0000004_85760,0000004,1,0.0,test
0000004_86016,0000004,1,0.0,test
0000004_86528,0000004,1,0.0,test
0000004_87296,0000004,1,0.0,test
0000004_88192,0000004,1,0.0,test
0000004_88832,0000004,1,0.0,test
0000004_89344,0000004,1,0.0,test
0000004_89728,0000004,1,0.0,test
0000004_89984,0000004,1,0.0,test
0000004_90112,0000004,1,0.0,test
0000004_91904,0000004,1,0.0,test
0000004_92288,0000004,1,0.0,test
0000004_92416,0000004,1,0.0,test
0000004_92928,0000004,1,0.0,test
0000004_93312,0000004,1,0.0,test
0000004_93440,0000004,1,0.0,test
0000004_96000,0000004,1,0.0,test
0000004_96512,0000004,1,0.0,test
0000004_97280,0000004,1,0.0,test
0000004_97792,0000004,1,0.0,test
0000004_98560,0000004,1,0.0,test
0000004_98816,0000004,1,0.0,test
0000004_99200,0000004,1,0.0,test
0000004_100352,0000004,1,0.0,test
0000004_101120,0000004,1,0.0,test
0000004_101632,0000004,1,0.0,test
0000004_102528,0000004,1,0.0,test
0000004_103552,0000004,1,0.0,test
0000004_103936,0000004,1,0.0,test
0000004_104704,0000004,1,0.0,test
0000004_105088,0000004,1,0.0,test
0000004_106496,0000004,1,0.0,test
0000004_106624,0000004,1,0.0,test
0000006_384,0000006,1,0.0,train
0000006_640,0000006,1,0.0,train
0000006_896,0000006,1,0.0,train
0000006_1152,0000006,1,0.0,train
0000006_1664,0000006,1,0.0,train
0000006_2304,0000006,1,0.0,train
0000006_2432,0000006,1,0.0,train
0000006_2816,0000006,1,0.0,train
0000006_3712,0000006,1,0.0,train
0000006_3840,0000006,1,0.0,train
0000006_4736,0000006,1,0.0,train
0000006_4864,0000006,1,0.0,train
0000006_5248,0000006,1,0.0,train
0000006_5760,0000006,1,0.0,train
0000006_5888,0000006,1,0.0,train
0000006_6144,0000006,1,0.0,train
0000006_6528,0000006,1,0.0,train
0000006_7808,0000006,1,0.0,train
0000006_7936,0000006,1,0.0,train
0000006_8192,0000006,1,0.0,train
0000006_8320,0000006,1,0.0,train
0000006_10496,0000006,1,0.0,train
0000006_11264,0000006,1,0.0,train
0000006_11904,0000006,1,0.0,train
0000006_12416,0000006,1,0.0,train
0000006_12672,0000006,1,0.0,train
0000006_12928,0000006,1,0.0,train
0000006_13824,0000006,1,0.0,train
0000006_13952,0000006,1,0.0,train
0000006_14720,0000006,1,0.0,train
0000006_15360,0000006,1,0.0,train
0000006_15488,0000006,1,0.0,train
0000006_15744,0000006,1,0.0,train
0000006_17536,0000006,1,0.0,train
0000006_17920,0000006,1,0.0,train
0000006_18560,0000006,1,0.0,train
0000006_18688,0000006,1,0.0,train
0000006_20224,0000006,1,0.0,train
0000006_20480,0000006,1,0.0,train
0000006_20864,0000006,1,0.0,train
0000006_22528,0000006,1,0.0,train
0000006_22912,0000006,1,0.0,train
0000006_23296,0000006,1,0.0,train
0000006_24704,0000006,1,0.0,train
0000006_25088,0000006,1,0.0,train
0000006_25216,0000006,1,0.0,train
0000006_25728,0000006,1,0.0,train
0000006_26880,0000006,1,0.0,train
0000006_27136,0000006,1,0.0,train
0000006_29440,0000006,1,0.0,train
0000006_30080,0000006,1,0.0,train
0000006_30208,0000006,1,0.0,train
0000006_31232,0000006,1,0.0,train
0000006_32000,0000006,1,0.0,train
0000006_33024,0000006,1,0.0,train
0000006_33280,0000006,1,0.0,train
0000006_33664,0000006,1,0.0,train
0000006_34304,0000006,1,0.0,train
0000006_34816,0000006,1,0.0,train
0000006_35712,0000006,1,0.0,train
0000006_36096,0000006,1,0.0,train
0000006_36992,0000006,1,0.0,train
0000006_37760,0000006,1,0.0,train
0000006_38144,0000006,1,0.0,train
0000006_40832,0000006,1,0.0,train
0000006_41216,0000006,1,0.0,train
0000006_41472,0000006,1,0.0,train
0000006_41856,0000006,1,0.0,train
0000006_42368,0000006,1,0.0,train
0000006_43520,0000006,1,0.0,train
0000006_44416,0000006,1,0.0,train
0000006_44800,0000006,1,0.0,train
0000006_45184,0000006,1,0.0,train
0000006_45696,0000006,1,0.0,train
0000006_46336,0000006,1,0.0,train
0000006_46592,0000006,1,0.0,train
0000006_46720,0000006,1,0.0,train
0000006_48000,0000006,1,0.0,train
0000006_48512,0000006,1,0.0,train
0000006_49152,0000006,1,0.0,train
0000006_50688,0000006,1,0.0,train
0000006_51456,0000006,1,0.0,train
0000006_52352,0000006,1,0.0,train
0000006_52480,0000006,1,0.0,train
0000006_53120,0000006,1,0.0,train
0000006_53248,0000006,1,0.0,train
0000006_53888,0000006,1,0.0,train
0000006_54656,0000006,1,0.0,train
0000006_54784,0000006,1,0.0,train
0000006_55808,0000006,1,0.0,train
0000006_56064,0000006,1,0.0,train
0000006_56448,0000006,1,0.0,train
0000006_57088,0000006,1,0.0,train
0000006_57472,0000006,1,0.0,train
0000006_57728,0000006,1,0.0,train
0000006_57856,0000006,1,0.0,train
0000006_58112,0000006,1,0.0,train
0000006_58752,0000006,1,0.0,train
0000006_58880,0000006,1,0.0,train
0000006_59264,0000006,1,0.0,train
0000006_59520,0000006,1,0.0,train
0000006_60544,0000006,1,0.0,train
0000006_61568,0000006,1,0.0,train
0000006_61696,0000006,1,0.0,train
0000006_61952,0000006,1,0.0,train
0000006_62592,0000006,1,0.0,train
0000006_63872,0000006,1,0.0,train
0000006_64128,0000006,1,0.0,train
0000006_64256,0000006,1,0.0,train
0000006_65536,0000006,1,0.0,train
0000006_67584,0000006,1,0.0,train
0000006_67968,0000006,1,0.0,train
0000006_68352,0000006,1,0.0,train
0000006_69504,0000006,1,0.0,train
0000006_70400,0000006,1,0.0,train
0000006_70912,0000006,1,0.0,train
0000006_71040,0000006,1,0.0,train
0000006_72064,0000006,1,0.0,train
0000006_72192,0000006,1,0.0,train
0000006_72320,0000006,1,0.0,train
0000006_73472,0000006,1,0.0,train
0000006_73728,0000006,1,0.0,train
0000006_74112,0000006,1,0.0,train
0000006_74240,0000006,1,0.0,train
0000006_74880,0000006,1,0.0,train
0000006_75008,0000006,1,0.0,train
0000006_75392,0000006,1,0.0,train
0000006_76416,0000006,1,0.0,train
0000006_76544,0000006,1,0.0,train
0000006_77312,0000006,1,0.0,train
0000006_77824,0000006,1,0.0,train
0000006_78976,0000006,1,0.0,train
0000006_80000,0000006,1,0.0,train
0000006_80384,0000006,1,0.0,train
0000006_82432,0000006,1,0.0,train
0000006_82688,0000006,1,0.0,train
0000006_83968,0000006,1,0.0,train
0000006_85120,0000006,1,0.0,train
0000006_86528,0000006,1,0.0,train
0000006_86656,0000006,1,0.0,train
0000006_86784,0000006,1,0.0,train
0000006_87424,0000006,1,0.0,train
0000006_87808,0000006,1,0.0,train
0000006_89344,0000006,1,0.0,train
0000006_89472,0000006,1,0.0,train
0000006_89728,0000006,1,0.0,train
0000006_90112,0000006,1,0.0,train
0000006_91008,0000006,1,0.0,train
0000006_93440,0000006,1,0.0,train
0000006_93952,0000006,1,0.0,train
0000006_94464,0000006,1,0.0,train
0000006_94592,0000006,1,0.0,train
0000006_95744,0000006,1,0.0,train
0000006_96640,0000006,1,0.0,train
0000006_96768,0000006,1,0.0,train
0000006_97280,0000006,1,0.0,train
0000006_97408,0000006,1,0.0,train
0000006_97664,0000006,1,0.0,train
0000006_98176,0000006,1,0.0,train
0000006_98432,0000006,1,0.0,train
0000006_100352,0000006,1,0.0,train
0000006_100736,0000006,1,0.0,train
0000006_101248,0000006,1,0.0,train
0000006_102400,0000006,1,0.0,train
0000006_103296,0000006,1,0.0,train
0000006_103552,0000006,1,0.0,train
0000006_104064,0000006,1,0.0,train
0000006_104576,0000006,1,0.0,train
0000006_106368,0000006,1,0.0,train
0000006_107392,0000006,1,0.0,train
0000006_107648,0000006,1,0.0,train
0000008_384,0000008,1,0.0,train
0000008_1152,0000008,1,0.0,train
0000008_1536,0000008,1,0.0,train
0000008_1792,0000008,1,0.0,train
0000008_1920,0000008,1,0.0,train
0000008_2048,0000008,1,0.0,train
0000008_3072,0000008,1,0.0,train
0000008_3712,0000008,1,0.0,train
0000008_3840,0000008,1,0.0,train
0000008_4224,0000008,1,0.0,train
0000008_4480,0000008,1,0.0,train
0000008_4992,0000008,1,0.0,train
0000008_5120,0000008,1,0.0,train
0000008_5376,0000008,1,0.0,train
0000008_5632,0000008,1,0.0,train
0000008_6784,0000008,1,0.0,train
0000008_7168,0000008,1,0.0,train
0000008_7936,0000008,1,0.0,train
0000008_8320,0000008,1,0.0,train
0000008_8704,0000008,1,0.0,train
0000008_9088,0000008,1,0.0,train
0000008_9856,0000008,1,0.0,train
0000008_10368,0000008,1,0.0,train
0000008_10624,0000008,1,0.0,train
0000008_12672,0000008,1,0.0,train
0000008_13696,0000008,1,0.0,train
0000008_13952,0000008,1,0.0,train
0000008_14464,0000008,1,0.0,train
0000008_14592,0000008,1,0.0,train
0000008_14848,0000008,1,0.0,train
0000008_14976,0000008,1,0.0,train
0000008_15104,0000008,1,0.0,train
0000008_16128,0000008,1,0.0,train
0000008_16256,0000008,1,0.0,train
0000008_16384,0000008,1,0.0,train
0000008_16896,0000008,1,0.0,train
0000008_17024,0000008,1,0.0,train
0000008_17920,0000008,1,0.0,train
0000008_18560,0000008,1,0.0,train
0000008_19840,0000008,1,0.0,train
0000008_21120,0000008,1,0.0,train
0000008_21248,0000008,1,0.0,train
0000008_23168,0000008,1,0.0,train
0000008_23680,0000008,1,0.0,train
0000008_23808,0000008,1,0.0,train
0000008_23936,0000008,1,0.0,train
0000008_25984,0000008,1,0.0,train
0000008_26240,0000008,1,0.0,train
0000008_26752,0000008,1,0.0,train
0000008_27648,0000008,1,0.0,train
0000008_28160,0000008,1,0.0,train
0000008_28416,0000008,1,0.0,train
0000008_29184,0000008,1,0.0,train
0000008_30720,0000008,1,0.0,train
0000008_31232,0000008,1,0.0,train
0000008_31744,0000008,1,0.0,train
0000008_33024,0000008,1,0.0,train
0000008_33152,0000008,1,0.0,train
0000008_34048,0000008,1,0.0,train
0000008_34432,0000008,1,0.0,train
0000008_35712,0000008,1,0.0,train
0000008_36480,0000008,1,0.0,train
0000008_36864,0000008,1,0.0,train
0000008_36992,0000008,1,0.0,train
0000008_38272,0000008,1,0.0,train
0000008_38784,0000008,1,0.0,train
0000008_38912,0000008,1,0.0,train
0000008_39680,0000008,1,0.0,train
0000008_39936,0000008,1,0.0,train
0000008_40448,0000008,1,0.0,train
0000008_40576,0000008,1,0.0,train
0000008_41856,0000008,1,0.0,train
0000008_42112,0000008,1,0.0,train
0000008_42240,0000008,1,0.0,train
0000008_42496,0000008,1,0.0,train
0000008_43136,0000008,1,0.0,train
0000008_43776,0000008,1,0.0,train
0000008_44672,0000008,1,0.0,train
0000008_45440,0000008,1,0.0,train
0000008_45568,0000008,1,0.0,train
0000008_46336,0000008,1,0.0,train
0000008_46720,0000008,1,0.0,train
0000008_47104,0000008,1,0.0,train
0000008_47488,0000008,1,0.0,train
0000008_48512,0000008,1,0.0,train
0000008_49024,0000008,1,0.0,train
0000008_49536,0000008,1,0.0,train
0000008_51072,0000008,1,0.0,train
0000008_51200,0000008,1,0.0,train
0000008_51840,0000008,1,0.0,train
0000008_53888,0000008,1,0.0,train
0000008_54912,0000008,1,0.0,train
0000008_55168,0000008,1,0.0,train
0000008_55552,0000008,1,0.0,train
0000008_55936,0000008,1,0.0,train
0000008_57088,0000008,1,0.0,train
0000008_57472,0000008,1,0.0,train
0000008_57600,0000008,1,0.0,train
0000008_58240,0000008,1,0.0,train
0000008_58496,0000008,1,0.0,train
0000008_60160,0000008,1,0.0,train
0000008_60544,0000008,1,0.0,train
0000008_60800,0000008,1,0.0,train
0000008_62208,0000008,1,0.0,train
0000008_62720,0000008,1,0.0,train
0000008_62848,0000008,1,0.0,train
0000008_64128,0000008,1,0.0,train
0000008_65664,0000008,1,0.0,train
0000008_66560,0000008,1,0.0,train
0000008_66816,0000008,1,0.0,train
0000008_67968,0000008,1,0.0,train
0000008_68864,0000008,1,0.0,train
0000008_69248,0000008,1,0.0,train
0000008_69504,0000008,1,0.0,train
0000008_70400,0000008,1,0.0,train
0000008_71168,0000008,1,0.0,train
0000008_71296,0000008,1,0.0,train
0000008_71680,0000008,1,0.0,train
0000008_72320,0000008,1,0.0,train
0000008_72704,0000008,1,0.0,train
0000008_72832,0000008,1,0.0,train
0000008_75392,0000008,1,0.0,train
0000008_76544,0000008,1,0.0,train
0000008_77056,0000008,1,0.0,train
0000008_77184,0000008,1,0.0,train
0000008_77824,0000008,1,0.0,train
0000008_78464,0000008,1,0.0,train
0000008_78592,0000008,1,0.0,train
0000008_78848,0000008,1,0.0,train
0000008_78976,0000008,1,0.0,train
0000008_80000,0000008,1,0.0,train
0000008_80256,0000008,1,0.0,train
0000008_81152,0000008,1,0.0,train
0000008_82688,0000008,1,0.0,train
0000008_82944,0000008,1,0.0,train
0000008_83200,0000008,1,0.0,train
0000008_83584,0000008,1,0.0,train
0000008_84096,0000008,1,0.0,train
0000008_84480,0000008,1,0.0,train
0000008_84608,0000008,1,0.0,train
0000008_85504,0000008,1,0.0,train
0000008_86272,0000008,1,0.0,train
0000008_86528,0000008,1,0.0,train
0000008_86784,0000008,1,0.0,train
0000008_86912,0000008,1,0.0,train
0000008_87552,0000008,1,0.0,train
0000008_87680,0000008,1,0.0,train
0000008_90880,0000008,1,0.0,train
0000008_91136,0000008,1,0.0,train
0000008_91520,0000008,1,0.0,train
0000008_91648,0000008,1,0.0,train
0000026_0,0000026,1,0.0,test
0000026_1280,0000026,1,0.0,test
0000026_1536,0000026,1,0.0,test
0000026_2048,0000026,1,0.0,test
0000026_2176,0000026,1,0.0,test
0000026_2432,0000026,1,0.0,test
0000026_2560,0000026,1,0.0,test
0000026_3200,0000026,1,0.0,test
0000026_4864,0000026,1,0.0,test
0000026_5888,0000026,1,0.0,test
0000026_6016,0000026,1,0.0,test
0000026_6912,0000026,1,0.0,test
0000026_8448,0000026,1,0.0,test
0000026_9600,0000026,1,0.0,test
0000026_9856,0000026,1,0.0,test
0000026_10496,0000026,1,0.0,test
0000026_13312,0000026,1,0.0,test
0000026_13952,0000026,1,0.0,test
0000026_14720,0000026,1,0.0,test
0000026_15360,0000026,1,0.0,test
0000026_16256,0000026,1,0.0,test
0000026_16896,0000026,1,0.0,test
0000026_17408,0000026,1,0.0,test
0000026_18304,0000026,1,0.0,test
0000026_18560,0000026,1,0.0,test
0000026_18944,0000026,1,0.0,test
0000026_19200,0000026,1,0.0,test
0000026_19584,0000026,1,0.0,test
0000026_20096,0000026,1,0.0,test
0000026_20608,0000026,1,0.0,test
0000026_20736,0000026,1,0.0,test
0000026_22912,0000026,1,0.0,test
0000026_23680,0000026,1,0.0,test
0000026_24704,0000026,1,0.0,test
0000026_25344,0000026,1,0.0,test
0000026_25600,0000026,1,0.0,test
0000026_25984,0000026,1,0.0,test
0000026_26240,0000026,1,0.0,test
0000026_26624,0000026,1,0.0,test
0000026_26880,0000026,1,0.0,test
0000026_27392,0000026,1,0.0,test
0000026_28800,0000026,1,0.0,test
0000026_29568,0000026,1,0.0,test
0000026_29696,0000026,1,0.0,test
0000026_30720,0000026,1,0.0,test
0000026_31104,0000026,1,0.0,test
0000026_32256,0000026,1,0.0,test
0000026_33920,0000026,1,0.0,test
0000026_34816,0000026,1,0.0,test
0000026_35328,0000026,1,0.0,test
0000026_35456,0000026,1,0.0,test
0000026_35968,0000026,1,0.0,test
0000026_36352,0000026,1,0.0,test
0000026_36480,0000026,1,0.0,test
0000026_37248,0000026,1,0.0,test
0000026_38528,0000026,1,0.0,test
0000026_38656,0000026,1,0.0,test
0000026_39040,0000026,1,0.0,test
0000026_39296,0000026,1,0.0,test
0000026_40064,0000026,1,0.0,test
0000026_40704,0000026,1,0.0,test
0000026_41600,0000026,1,0.0,test
0000026_42368,0000026,1,0.0,test
0000026_43264,0000026,1,0.0,test
0000026_43648,0000026,1,0.0,test
0000026_43776,0000026,1,0.0,test
0000026_44288,0000026,1,0.0,test
0000026_45824,0000026,1,0.0,test
0000026_45952,0000026,1,0.0,test
0000026_46080,0000026,1,0.0,test
0000026_46464,0000026,1,0.0,test
0000026_47232,0000026,1,0.0,test
0000026_48000,0000026,1,0.0,test
0000026_48128,0000026,1,0.0,test
0000026_48512,0000026,1,0.0,test
0000026_49408,0000026,1,0.0,test
0000026_50560,0000026,1,0.0,test
0000026_50944,0000026,1,0.0,test
0000026_51968,0000026,1,0.0,test
0000026_52736,0000026,1,0.0,test
0000026_53248,0000026,1,0.0,test
0000026_53376,0000026,1,0.0,test
0000026_54528,0000026,1,0.0,test
0000026_54784,0000026,1,0.0,test
0000026_55168,0000026,1,0.0,test
0000026_55808,0000026,1,0.0,test
0000026_57728,0000026,1,0.0,test
0000026_57984,0000026,1,0.0,test
0000026_58368,0000026,1,0.0,test
0000026_58496,0000026,1,0.0,test
0000026_58624,0000026,1,0.0,test
0000026_61184,0000026,1,0.0,test
0000026_61696,0000026,1,0.0,test
0000026_61824,0000026,1,0.0,test
0000026_63104,0000026,1,0.0,test
0000026_63744,0000026,1,0.0,test
0000026_63872,0000026,1,0.0,test
0000026_64128,0000026,1,0.0,test
0000026_64512,0000026,1,0.0,test
0000026_65280,0000026,1,0.0,test
0000026_66816,0000026,1,0.0,test
0000026_67968,0000026,1,0.0,test
0000026_68352,0000026,1,0.0,test
0000026_68864,0000026,1,0.0,test
0000026_69632,0000026,1,0.0,test
0000026_71552,0000026,1,0.0,test
0000026_72960,0000026,1,0.0,test
0000026_73472,0000026,1,0.0,test
0000026_73728,0000026,1,0.0,test
0000026_74880,0000026,1,0.0,test
0000026_75392,0000026,1,0.0,test
0000026_75904,0000026,1,0.0,test
0000026_76160,0000026,1,0.0,test
0000026_77568,0000026,1,0.0,test
0000026_77824,0000026,1,0.0,test
0000026_78976,0000026,1,0.0,test
0000026_79744,0000026,1,0.0,test
0000026_80512,0000026,1,0.0,test
0000026_80896,0000026,1,0.0,test
0000026_81536,0000026,1,0.0,test
0000026_81792,0000026,1,0.0,test
0000026_82048,0000026,1,0.0,test
0000026_83968,0000026,1,0.0,test
0000026_84096,0000026,1,0.0,test
0000026_84480,0000026,1,0.0,test
0000026_85120,0000026,1,0.0,test
0000026_86528,0000026,1,0.0,test
0000026_86656,0000026,1,0.0,test
0000026_87808,0000026,1,0.0,test
0000026_88704,0000026,1,0.0,test
0000026_89088,0000026,1,0.0,test
0000026_89216,0000026,1,0.0,test
0000026_89472,0000026,1,0.0,test
0000026_90368,0000026,1,0.0,test
0000026_91136,0000026,1,0.0,test
0000026_91264,0000026,1,0.0,test
0000026_91648,0000026,1,0.0,test
0000026_92288,0000026,1,0.0,test
0000026_92928,0000026,1,0.0,test
0000026_94464,0000026,1,0.0,test
0000026_96768,0000026,1,0.0,test
0000026_97280,0000026,1,0.0,test
0000026_97664,0000026,1,0.0,test
0000026_98048,0000026,1,0.0,test
0000026_98688,0000026,1,0.0,test
0000026_98816,0000026,1,0.0,test
0000026_98944,0000026,1,0.0,test
0000026_99072,0000026,1,0.0,test
0000026_99712,0000026,1,0.0,test
0000026_102016,0000026,1,0.0,test
0000026_102528,0000026,1,0.0,test
0000026_103552,0000026,1,0.0,test
0000026_103808,0000026,1,0.0,test
0000026_104192,0000026,1,0.0,test
0000026_104320,0000026,1,0.0,test
0000026_104448,0000026,1,0.0,test
0000026_104960,0000026,1,0.0,test
0000026_105088,0000026,1,0.0,test
0000026_105216,0000026,1,0.0,test
0000026_105344,0000026,1,0.0,test
0000026_105856,0000026,1,0.0,test
0000026_106496,0000026,1,0.0,test
0000103_512,0000103,1,0.0,train
0000103_640,0000103,1,1.0,train
0000103_768,0000103,1,1.0,train
0000103_1280,0000103,1,1.0,train
0000103_1408,0000103,1,1.0,train
0000103_1664,0000103,1,1.0,train
0000103_1792,0000103,1,1.0,train
0000103_2048,0000103,1,1.0,train
0000103_2176,0000103,1,1.0,train
0000103_2304,0000103,1,0.0,train
0000103_2560,0000103,1,0.0,train
0000103_2816,0000103,1,0.0,train
0000103_2944,0000103,1,1.0,train
0000103_3072,0000103,1,1.0,train
0000103_3200,0000103,1,1.0,train
0000103_3456,0000103,1,1.0,train
0000103_3584,0000103,1,1.0,train
0000103_4096,0000103,1,1.0,train
0000103_4224,0000103,1,1.0,train
0000103_4608,0000103,1,1.0,train
0000103_4864,0000103,1,1.0,train
0000103_4992,0000103,1,0.0,train
0000103_5248,0000103,1,0.0,train
0000103_5504,0000103,1,1.0,train
0000103_5632,0000103,1,1.0,train
0000103_6144,0000103,1,1.0,train
0000103_6400,0000103,1,0.0,train
0000103_6528,0000103,1,1.0,train
0000103_6912,0000103,1,1.0,train
0000103_7936,0000103,1,0.0,train
0000103_8448,0000103,1,0.0,train
0000103_9088,0000103,1,0.0,train
0000103_9728,0000103,1,0.0,train
0000103_9984,0000103,1,0.0,train
0000103_10880,0000103,1,1.0,train
0000103_11136,0000103,1,1.0,train
0000103_11264,0000103,1,1.0,train
0000103_11392,0000103,1,1.0,train
0000103_11520,0000103,1,1.0,train
0000103_11904,0000103,1,0.0,train
0000103_12672,0000103,1,0.0,train
0000103_13184,0000103,1,0.0,train
0000103_13696,0000103,1,0.0,train
0000103_14592,0000103,1,0.0,train
0000103_15104,0000103,1,1.0,train
0000103_15232,0000103,1,1.0,train
0000103_15360,0000103,1,1.0,train
0000103_15488,0000103,1,1.0,train
0000103_15616,0000103,1,1.0,train
0000103_15744,0000103,1,0.0,train
0000103_15872,0000103,1,0.0,train
0000103_16640,0000103,1,1.0,train
0000103_17024,0000103,1,1.0,train
0000103_17152,0000103,1,1.0,train
0000103_17280,0000103,1,1.0,train
0000103_17408,0000103,1,1.0,train
0000103_17536,0000103,1,1.0,train
0000103_17664,0000103,1,1.0,train
0000103_18048,0000103,1,1.0,train
0000103_18176,0000103,1,0.0,train
0000103_19584,0000103,1,0.0,train
0000103_19712,0000103,1,0.0,train
0000103_19840,0000103,1,1.0,train
0000103_19968,0000103,1,1.0,train
